station_id,ville_source,adresse_source,localite,commune,confiance,epci_siren,epci_nom,source_epci,date_verification
20110005,Propriano,4 QUARTIER ST JOSEPH,Propriano,Propriano,C,242010130,CC du Sartenais Valinco Taravo,BANATIC/DGCL,2026-09-10
20213003,Penta-di-Casinca,Station TOTAL - RN 198 - FOLELLI,Folelli,Penta-di-Casinca,A,200073252,CC de la Castagniccia-Casinca,BANATIC/DGCL,2026-09-10
